epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
25,0.4087,1.8279,"[ 0.46298576  0.39919717 -0.02962751 -0.0330991   0.33965768  0.2367467
  0.66517998  0.98396322  0.92050869  0.39505837  0.01561503  0.77604176
  0.96920475  0.83816483  0.77235398  0.96633204  0.78315183 -0.08214632
  0.41211206  0.4296053   0.76541224  1.10634092  0.52431897  0.80997301
  0.54214205  0.7531347   0.56762603 -0.0768063  -0.00157731  0.37140017
  0.63342657  0.18939811]",14.6556
26,0.3954,1.858,"[ 0.45699481  0.39319846 -0.03562617 -0.03909806  0.33367297  0.24272991
  0.65918117  0.98996206  0.92650683  0.4010579   0.00961652  0.78204049
  0.97520452  0.83217815  0.77828376  0.97232894  0.78914657 -0.08813284
  0.41810549  0.42547864  0.75946203  1.11232099  0.51831989  0.81573251
  0.54813369  0.74713495  0.56162624 -0.08280617 -0.00757668  0.3654019
  0.6274304   0.18340064]",14.6244
27,0.3895,1.8819,"[ 0.45100418  0.3871997  -0.04162487 -0.04509707  0.32768788  0.24871435
  0.6531823   0.99596092  0.93250501  0.40705744  0.00361793  0.78803929
  0.9812043   0.82619038  0.78420427  0.97832591  0.79514151 -0.09411982
  0.42409915  0.42082348  0.75350321  1.11830216  0.51232082  0.82152129
  0.5541258   0.74113519  0.55562645 -0.08880604 -0.01357607  0.3594036
  0.62143415  0.17740307]",14.594
28,0.3917,1.8577,"[ 0.44501419  0.38120094 -0.04762358 -0.0510961   0.32170275  0.25469958
  0.64718341  1.00195979  0.93850318  0.413057   -0.00238071  0.79403812
  0.98720409  0.8202019   0.79010642  0.98432289  0.80113654 -0.10010693
  0.43009291  0.41588259  0.74753874  1.12428392  0.50632177  0.82733284
  0.56011816  0.73513543  0.54962666 -0.09480591 -0.01957548  0.35340532
  0.61543791  0.17140545]",14.5644
29,0.3917,1.8566,"[ 0.43902474  0.37520214 -0.05362232 -0.05709517  0.31571734  0.26068578
  0.64118449  1.00795867  0.94450135  0.41905657 -0.0083794   0.80003699
  0.99320387  0.81421258  0.79597391  0.99031992  0.80713172 -0.10609437
  0.43608683  0.4107443   0.74156938  1.13026652  0.50032275  0.83316801
  0.56611089  0.72913566  0.54362686 -0.10080579 -0.02557491  0.34740702
  0.60944162  0.16540774]",14.5355
30,0.3853,1.8809,"[ 0.43303621  0.36920334 -0.05962106 -0.06309427  0.30973184  0.26667268
  0.63518554  1.01395756  0.9504995   0.42505614 -0.01437814  0.8060359
  0.99920365  0.80822267  0.80173712  0.99631695  0.81312698 -0.11208191
  0.44208083  0.40547759  0.73559657  1.13624964  0.49432378  0.83902197
  0.57210384  0.7231359   0.53762706 -0.10680567 -0.03157436  0.34140875
  0.60344536  0.15941   ]",14.5074
31,0.3831,1.8818,"[ 0.4270489   0.36320454 -0.06561981 -0.06909338  0.30374635  0.27266012
  0.62918657  1.01995644  0.95649759  0.43105571 -0.0203769   0.81203482
  1.00520344  0.80223229  0.80359247  1.00231397  0.81912228 -0.11806945
  0.44807484  0.40011981  0.72962112  1.14223312  0.48832486  0.84489187
  0.57809695  0.71713613  0.53162726 -0.11280555 -0.03757381  0.33541051
  0.59744914  0.15341223]",14.4804
32,0.3789,1.8834,"[ 0.42106343  0.35720575 -0.07161854 -0.0750925   0.29776091  0.27864804
  0.6231876   1.0259553   0.96249561  0.43705529 -0.02637569  0.81803375
  1.01120322  0.7962415   0.79795898  1.00831095  0.8251176  -0.12405693
  0.45406884  0.39469395  0.72364357  1.14821687  0.48232602  0.85077557
  0.58409018  0.71113637  0.52562747 -0.11880543 -0.04357326  0.32941232
  0.59145299  0.14741444]",14.4547
33,0.3832,1.8929,"[ 0.41507966  0.35120693 -0.0776173  -0.08109165  0.29177513  0.28463669
  0.61718859  1.03195418  0.96849359  0.44305487 -0.03237452  0.82403272
  1.017203    0.79025012  0.79210855  1.01430798  0.83111305 -0.13004464
  0.46006296  0.38920223  0.71766372  1.15420127  0.47632725  0.85667415
  0.59008369  0.7051366   0.51962767 -0.12480531 -0.04957274  0.32341412
  0.58545681  0.14141659]",14.4298
34,0.386,1.8824,"[ 0.40909798  0.34520809 -0.08361608 -0.08709083  0.28578901  0.29062602
  0.61118955  1.03795308  0.97449151  0.44905446 -0.0383734   0.83003171
  1.02320279  0.7842582   0.78620005  1.02030504  0.83710863 -0.13603256
  0.4660572   0.38365742  0.71168194  1.16018627  0.47032856  0.86258554
  0.59607746  0.69913684  0.51362786 -0.1308052  -0.05557224  0.31741593
  0.57946061  0.13541868]",14.4055
35,0.3792,1.9099,"[ 0.40312017  0.33920927 -0.08961484 -0.09309002  0.27980291  0.2966157
  0.6051905   1.04395196  0.98048925  0.45505406 -0.04437229  0.83603072
  1.02920257  0.77826599  0.78026604  1.02630207  0.84310421 -0.14202033
  0.47205139  0.37807927  0.70569898  1.16617141  0.46432998  0.86850587
  0.60207129  0.69313707  0.50762806 -0.13680508 -0.06157174  0.31141779
  0.57346449  0.12942076]",14.3819
